Application / Award Number,Grantee Access Enabled?,Primary Institution,City,State,Title,Division/Office,Program,Deadline,Council Number Date,Status,Awarded,Award FY,Latitude,Longitude
1744720-78-07,FALSE,Miles College,Fairfield,AL,"To support research, site surveys, and commission costs for a commemorative civil rights sculpture group by artist Tina Allen as part of the Miles College Peace Park. WITHDRAWN.",Challenge America,Challenge America Fast-Track,6/1/06,160 March 2007 NCA,Closed Out,$0.00 ,2007,33.480831,-86.908268
1700890-51,FALSE,Oakwood College,Huntsville,AL,,Arts Education,Other,,106 November 1990 NCA,Rejected,$0.00 ,,34.751841,-86.655845
1902850-66,FALSE,Stillman College,Tuscaloosa,AL,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Rejected,$0.00 ,,33.1982647,-87.5859218
1843481-51,FALSE,Stillman College,Tuscaloosa,AL,"To support a summer creative writing, music, and visual arts program 10  -12th grade students high school sophomores, juniors, and seniors in Tuscaloosa, Alabama.",Arts Education,Art Works,8/9/12,178 March 2013 NCA,Rejected,$0.00 ,,33.1982647,-87.5859218
1887408-31,FALSE,Talladega College,Talladega,AL,The Talladega Steinway Restoration Project was created to acquire funds for restoration of a 105-year-old Steinway grand piano.,Music,Grants for Arts Projects,2/11/21,204 October 2021 NCA,Rejected,$0.00 ,,33.4327519,-86.1135613
1862812-31,FALSE,Talladega College,Talladega,AL,Talladega Steinway Restoration,Music,Art Works,7/11/19,199 March 2020 NCA,Incomplete,$0.00 ,,33.4327519,-86.1135613
1808091-31,FALSE,Talladega College,Talladega,AL,To support the restoration and preservation of an antique grand piano.,Music,Art Works,7/13/17,193 March 2018 NCA,Rejected,$0.00 ,,33.4327519,-86.1135613
1898559-66,TRUE,Tuskegee University,Tuskegee,AL,Purpose: To support personnel expenses in response to and recovery from the COVID-19 pandemic.,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Offered,$0.00 ,,32.430678,-85.7072853
1887030-59-21,TRUE,Tuskegee University,Tuskegee,AL,"To
support general operating costs in response to the COVID-19 pandemic.",Arts Engagement in American Communities,Challenge America: Arts Engagement in American Communities,9/30/21,203 June 2021 NCA,Awarded,"$10,000.00 ",2021,32.430678,-85.7072853
1880798-95-20,TRUE,Tuskegee University,Tuskegee,AL,To support personnel costs in response to the COVID-19 pandemic.,"Coronavirus Aid, Relief, and Economic Security (CARES) Act","Coronavirus Aid, Relief, and Economic Security (CARES) Act",4/22/20,200 June 2020 NCA,Awarded,"$50,000.00 ",2020,32.430678,-85.7072853
1859025-59-19,TRUE,Tuskegee University,Tuskegee,AL,To support an exhibition by visual artist Titus Kaphar at the Legacy Museum.,Arts Engagement in American Communities,Challenge America: Arts Engagement in American Communities,9/30/19,197 June 2019 NCA,Closed Out,"$8,960.67 ",2019,32.430678,-85.7072853
1689766-42,FALSE,Tuskegee University,Tuskegee,AL,,Design,Other,,116 May 1993 NCA,Rejected,$0.00 ,,32.430678,-85.7072853
1803149-55-84,FALSE,Tuskegee University,Tuskegee,AL,,Folk & Traditional Arts,Other,,081 August 1984 NCA,Closed Out,"$14,900.00 ",1984,32.430678,-85.7072853
1805928-42-84,FALSE,Tuskegee University,Tuskegee,AL,,Design,Other,,078 November 1983 NCA,Closed Out,"$15,000.00 ",1984,32.430678,-85.7072853
1906615,FALSE,University of Arkansas at Pine Bluff,Pine Bluff,AR,,Not Set,Grants for Arts Projects,2/10/22,208 October 2022 NCA,Pending,$0.00 ,,34.2468716,-92.0213392
1843193-78,FALSE,University of Arkansas at Pine Bluff,Pine Bluff,AR,Southeast Portable Opera for Kids,Challenge America,Challenge America,5/24/12,178 March 2013 NCA,Rejected,$0.00 ,,34.2468716,-92.0213392
1895352,FALSE,Howard University,Washington,DC,,Not Set,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Incomplete,$0.00 ,,38.922684,-77.019599
1899842-66,TRUE,Howard University,Washington,DC,Purpose: To support personnel expenses in response to and recovery from the COVID-19 pandemic.,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Offered,$0.00 ,,38.922684,-77.019599
1865836-42-21,TRUE,Howard University,Washington,DC,"To support a community-engaged research and interior design project for Barry Farm in Washington, D.C.",Design,Grants for Arts Projects,2/13/20,201 October 2020 NCA,Awarded,"$25,000.00 ",2021,38.922684,-77.019599
1857204-42,FALSE,Howard University,Washington,DC,Community Revitalization– Public Housing: Designing Social Equity to Build Community,Design,Art Works,2/14/19,198 October 2019 NCA,Rejected,$0.00 ,,38.922684,-77.019599
1840101-34,FALSE,Howard University,Washington,DC,Women in the Black Arts Movement: An Electronic Cu ltural Repository of Selected Art and Literature,Media Arts,Art Works,7/24/14,184 March 2015 NCA,Incomplete,$0.00 ,,38.922684,-77.019599
1841712-34,FALSE,Howard University,Washington,DC,Women in the Black Arts Movement: An Electronic Cu ltural Repository of Selected Art and Literature,Media Arts,Art Works,8/8/13,181 March 2014 NCA,Rejected,$0.00 ,,38.922684,-77.019599
1652880-51,FALSE,Howard University,Washington,DC,HUDOM String Artists Residency,Arts Education,Access to Artistic Excellence,8/12/10,172 March 2011 NCA,Incomplete,$0.00 ,,38.922684,-77.019599
1658054-42,FALSE,Howard University,Washington,DC,PROCESS: National Museum of African American Histo ry and Culture,Design,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Rejected,$0.00 ,,38.922684,-77.019599
1765011-31-95,FALSE,Howard University,Washington,DC,"To support scholarship aid to students enrolled in the String Instrument Program at Howard University.  This Program is a collaborative effort among Howard University, the Kennedy Center, and the National Symphony Orchestra (NSO) to encourage the development",Music,Other,,124 May 1995 NCA,Withdrawn by Agency,$0.00 ,1995,38.922684,-77.019599
1773423-42-92,FALSE,Howard University,Washington,DC,To support a national forum for African-American and other minority architects.,Design,Other,,112 May 1992 NCA,Closed Out,"$45,000.00 ",1992,38.922684,-77.019599
1777395-46-92,FALSE,Howard University,Washington,DC,"To support the Arts Visitation Program which will sponsor visits by African American artists to historically black colleges or universities, featuring artistic presentations or performances, seminars, and community appearances.",Challenge,Other,,110 November 1991 NCA,Closed Out,"$58,916.00 ",1992,38.922684,-77.019599
1799480-31-86,FALSE,Howard University,Washington,DC,"To support the jazz oral history project, including interviews and videotaping of artists who performed from the 1940's through 1960's.",Music,Other,,086 November 1985 NCA,Closed Out,"$10,000.00 ",1986,38.922684,-77.019599
1799520-31-86,FALSE,Howard University,Washington,DC,To support artists' performance fees and production expenses for a concert of original works by Oliver Nelson.,Music,Other,,086 November 1985 NCA,Closed Out,"$4,968.00 ",1986,38.922684,-77.019599
1803713-31-85,FALSE,Howard University,Washington,DC,,Music,Other,,082 November 1984 NCA,Closed Out,"$4,000.00 ",1985,38.922684,-77.019599
1806038-31-84,FALSE,Howard University,Washington,DC,,Music,Other,,078 November 1983 NCA,Closed Out,"$5,000.00 ",1984,38.922684,-77.019599
1807292-31-84,FALSE,Howard University,Washington,DC,,Music,Other,,078 November 1983 NCA,Closed Out,"$25,000.00 ",,38.922684,-77.019599
1663776-34,FALSE,University of the District of Columbia,Washington,DC,,Media Arts,Access to Artistic Excellence,,159 November 2006 NCA,Rejected,$0.00 ,,38.944677,-77.0656299
1683988-34,FALSE,University of the District of Columbia,Washington,DC,,Media Arts,Other,,126 November 1995 NCA,Rejected,$0.00 ,,38.944677,-77.0656299
1767494-34-95,FALSE,University of the District of Columbia,Washington,DC,To support the Black Film Institute's screenings and lecture presentations on black and Third World film.  Programs are offered free to the public and frequently include filmmakers discussing their work.  NOTE:  The Expansion Arts Program has been informed of,Media Arts,Other,,122 November 1994 NCA,Closed Out,"$11,000.00 ",1995,38.944677,-77.0656299
1770834-34-94,FALSE,University of the District of Columbia,Washington,DC,To support the Black Film Institute's screenings and lecture presentations on black and third world films.  Programs are offered free to the public and frequently include filmmakers discussing their work.  NOTE:  The Expansion Arts Program has been informed of,Media Arts,Other,,118 November 1993 NCA,Closed Out,"$9,750.00 ",1994,38.944677,-77.0656299
1774440-34-93,FALSE,University of the District of Columbia,Washington,DC,To support the Black Film Institute's screenings and lecture presentations on black and Third World film.  Programs are offered free to the public and frequently include filmmakers discussing their work.,Media Arts,Other,,114 November 1992 NCA,Closed Out,"$10,000.00 ",1993,38.944677,-77.0656299
1778402-34-92,FALSE,University of the District of Columbia,Washington,DC,To support the Black Film Institute's screenings and lecture presentations on black and Third World films.  Programs are offered free to the public and frequently include filmmakers discussing thier work.  NOTE:  The Expansion Arts program has been informed of,Media Arts,Other,,110 November 1991 NCA,Closed Out,"$10,000.00 ",1992,38.944677,-77.0656299
1781608-34-91,FALSE,University of the District of Columbia,Washington,DC,To support media arts center activities,Media Arts,Other,,106 November 1990 NCA,Closed Out,"$11,400.00 ",1991,38.944677,-77.0656299
1784716-34-90,FALSE,University of the District of Columbia,Washington,DC,To support media arts center activities,Media Arts,Other,,102 November 1989 NCA,Closed Out,"$12,000.00 ",1990,38.944677,-77.0656299
1788498-34-89,FALSE,University of the District of Columbia,Washington,DC,To support media arts center activities,Media Arts,Other,,100 May 1989 NCA,Closed Out,"$11,249.00 ",1989,38.944677,-77.0656299
1792221-34-88,FALSE,University of the District of Columbia,Washington,DC,To support an exhibition center offering screenings and lecture presentations on black and Third World films.,Media Arts,Other,,094 November 1987 NCA,Closed Out,"$10,000.00 ",1988,38.944677,-77.0656299
1795150-34-87,FALSE,University of the District of Columbia,Washington,DC,To support media arts center activities.   To support an exhibition center offering screenings and lecture presentations of Black and Third World films.  Programs are offered free to the public and,Media Arts,Other,,091 February 1987 NCA,Closed Out,"$10,500.00 ",1987,38.944677,-77.0656299
1798864-34-86,FALSE,University of the District of Columbia,Washington,DC,To support Media Arts Center activities of the Black Film Institute   A center offering screenings and lecture presentations on Black and Third World films.  Programs are offered free to the public and frequently include,Media Arts,Other,,086 November 1985 NCA,Closed Out,"$8,800.00 ",1986,38.944677,-77.0656299
1803274-34-85,FALSE,University of the District of Columbia,Washington,DC,,Media Arts,Other,,082 November 1984 NCA,Closed Out,"$9,700.00 ",1985,38.944677,-77.0656299
1651710-78,FALSE,Delaware State University,Dover,DE,The Animation World,Challenge America,Challenge America,5/27/10,172 March 2011 NCA,Rejected,$0.00 ,,39.186272,-75.542267
1809812-42,FALSE,Bethune-Cookman University,Daytona Beach,FL,To support Midtown Daytona Beach Resilience Plan:  Cultural Hub and Multifunctional Stormwater Park.,Design,Our Town,9/18/17,193 March 2018 NCA,Ineligible,$0.00 ,,29.2110102,-81.031575
1836649,FALSE,Bethune-Cookman University,Daytona Beach,FL,Theater & Musical Theater: B-CU Tra-Co-Dram Road T heater,,Art Works,7/23/15,187 March 2016 NCA,Incomplete,$0.00 ,,29.2110102,-81.031575
1838858-78,FALSE,Bethune-Cookman University,Daytona Beach,FL,The Community Performance Series at the Performing Arts Center,Challenge America,Challenge America,5/8/14,184 March 2015 NCA,Rejected,$0.00 ,,29.2110102,-81.031575
1898758-42,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,FAMU SAET Apalachicola Cultural Planning,Design,Our Town,8/5/21,206 March 2022 NCA,Incomplete,$0.00 ,,30.4238939,-84.2874453
1887521-51,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Japanese Joinery In Architecture Fabrication Pedagogy,Arts Education,Grants for Arts Projects,2/11/21,204 October 2021 NCA,Ineligible,$0.00 ,,30.4238939,-84.2874453
1656802-78,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,African-Caribbean Concert,Challenge America,Challenge America Fast-Track,5/28/09,169 March 2010 NCA,Rejected,$0.00 ,,30.4238939,-84.2874453
1658038-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Duplicate,$0.00 ,,30.4238939,-84.2874453
1658042-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Duplicate,$0.00 ,,30.4238939,-84.2874453
1658043-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Duplicate,$0.00 ,,30.4238939,-84.2874453
1658044-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Duplicate,$0.00 ,,30.4238939,-84.2874453
1658045-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Duplicate,$0.00 ,,30.4238939,-84.2874453
1658050-33,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,Access to Dance ARTS: Artists Revitalizing Tallaha ssee Schools,Dance,Access to Artistic Excellence,8/13/09,169 March 2010 NCA,Ineligible,$0.00 ,,30.4238939,-84.2874453
1749041-78-05,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,"To support ""Jamaican Oral Expression:  Dub Poetry and Folk Philosophy.""",Challenge America,Challenge America Fast-Track,,154 March 2005 NCA,Closed Out,$0.00 ,2005,30.4238939,-84.2874453
1684192-34,FALSE,Florida Agricultural and Mechanical University,Tallahassee,FL,,Media Arts,Other,,126 November 1995 NCA,Rejected,$0.00 ,,30.4238939,-84.2874453
1833487-78,FALSE,Albany State University,Albany,GA,TransAtlantic Horn Quartet Concert and Master-Clas s at Albany State University,Challenge America,Challenge America,4/14/16,190 March 2017 NCA,Incomplete,$0.00 ,,31.5690317,-84.1404238
1816347-78-15,FALSE,Albany State University,Albany,GA,To support an artist residency featuring the women's a cappella ensemble Sweet Honey in the Rock.,Challenge America,Challenge America,5/8/14,184 March 2015 NCA,Closed Out,"$10,000.00 ",2015,31.5690317,-84.1404238
1820510-78-13,FALSE,Albany State University,Albany,GA,To support a performance by concert pianist Awadagin Pratt and associated outreach activities presented by the Albany State University Lyceum Committee.,Challenge America,Challenge America,5/24/12,178 March 2013 NCA,Closed Out,"$9,981.00 ",2013,31.5690317,-84.1404238
1682640-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,124 May 1995 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1685678-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,120 May 1994 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1685708-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,120 May 1994 NCA,Withdrawn by Applicant,$0.00 ,,31.5690317,-84.1404238
1689412-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,116 May 1993 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1692962-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,112 May 1992 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1780540-52-90,FALSE,Albany State University,Albany,GA,To support writers' fees and related costs for the writer-in-residence series,Literary Arts,Other,,104 May 1990 NCA,Closed Out,"$10,000.00 ",1990,31.5690317,-84.1404238
1704506-54,FALSE,Albany State University,Albany,GA,,Presenting & Multidisciplinary Works,Other,,102 November 1989 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1788002-52-88,FALSE,Albany State University,Albany,GA,To support writers' fees and related costs for a residency series to be sponsored by the School of Arts and Sciences at the Albany State College,Literary Arts,Other,,096 May 1988 NCA,Closed Out,"$10,000.00 ",1988,31.5690317,-84.1404238
1711285-54,FALSE,Albany State University,Albany,GA,,Presenting & Multidisciplinary Works,Other,,094 November 1987 NCA,Rejected,$0.00 ,,31.5690317,-84.1404238
1709759-52,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,092 May 1987 NCA,Withdrawn by Applicant,$0.00 ,,31.5690317,-84.1404238
1796366-54-87,FALSE,Albany State University,Albany,GA,To support the 1987 presentation season,Presenting & Multidisciplinary Works,Other,,090 November 1986 NCA,Closed Out,"$5,000.00 ",1987,31.5690317,-84.1404238
1795101-52-86,FALSE,Albany State University,Albany,GA,To support writers' fees and related costs for four five-day residencies,Literary Arts,Other,,088 May 1986 NCA,Closed Out,"$10,000.00 ",1986,31.5690317,-84.1404238
1802147-52-84,FALSE,Albany State University,Albany,GA,,Literary Arts,Other,,080 May 1984 NCA,Closed Out,"$10,000.00 ",1984,31.5690317,-84.1404238
1806575-54-84,FALSE,Albany State University,Albany,GA,,Presenting & Multidisciplinary Works,Other,,078 November 1983 NCA,Closed Out,"$5,000.00 ",1984,31.5690317,-84.1404238
1732378-78-12,FALSE,"Albany State University Foundation, Inc.",Albany,GA,To support a concert performance and a master class by the Imani Winds Ensemble.,Challenge America,Challenge America,5/26/11,175 March 2012 NCA,Closed Out,"$9,842.00 ",2012,31.5690317,-84.1404238
1734528-78-11,FALSE,"Albany State University Foundation, Inc.",Albany,GA,To support a performance and lecture-demonstration by the Dance Theater of Harlem (DTH) Ensemble.,Challenge America,Challenge America,5/27/10,172 March 2011 NCA,Closed Out,"$10,000.00 ",2011,31.5690317,-84.1404238
1895157-44,FALSE,Fort Valley State University,Fort Valley,GA,The Plight of the Black Farmers Exhibition,Museums,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Pending,$0.00 ,,32.5345289,-83.8963575
1835141-42,FALSE,Fort Valley State University,Fort Valley,GA,Arts Alive: A Community Arts Revitalization Projec t in the City of Fort Valley,Design,Our Town,12/15/14,185 June 2015 NCA,Rejected,$0.00 ,,32.5345289,-83.8963575
1664247-78,FALSE,Fort Valley State University,Fort Valley,GA,Fort Valley State University Fine Arts and Media E xperience: FAME,Challenge America,Challenge America Fast-Track,6/1/06,160 March 2007 NCA,Ineligible,$0.00 ,,32.5345289,-83.8963575
1816050-31-15,FALSE,Morehouse College,Atlanta,GA,To support the commissioning and performance of a new work for trumpet and orchestra by American composer James Oliverio. A copy of the score is the required product.,Music,Art Works,2/20/14,183 October 2014 NCA,Closed Out,"$15,404.00 ",2015,33.742784,-84.411958
1704780-42,FALSE,Morris Brown College,Atlanta,GA,,Design,Other,,102 November 1989 NCA,Rejected,$0.00 ,,33.7551065,-84.4085387
1803513-42-85,FALSE,Savannah State College,Savannah,GA,,Design,Other,,082 November 1984 NCA,Closed Out,"$5,590.00 ",1985,32.0245213,-81.0626367
1861871,FALSE,Spelman College,Atlanta,GA,The 2020 International Black Theatre Summit “Unrecovered Losses: Reclaiming Our Inheritance”,Not Set,Art Works,7/11/19,199 March 2020 NCA,Incomplete,$0.00 ,,33.7463597,-84.4122934
1853222-78,FALSE,Spelman College,Atlanta,GA,Black & Blue: The Documentary Filmmaker Screening Series,Challenge America,Challenge America,4/12/18,196 March 2019 NCA,Incomplete,$0.00 ,,33.7463597,-84.4122934
1845543-42-18,TRUE,Spelman College,Atlanta,GA,"To support a photography and creative writing program for youth in Hobson City, Alabama.",Design,Our Town,,193 March 2018 NCA,Closed Out,"$21,578.65 ",2018,33.7463597,-84.4122934
1833686-34,FALSE,Spelman College,Atlanta,GA,"To support the media project ""Apertures.""",Media Arts,Art Works,7/14/16,190 March 2017 NCA,Rejected,$0.00 ,,33.7463597,-84.4122934
1733222-34-12,FALSE,Spelman College,Atlanta,GA,"To support HERadventure, a multi-episode augmented reality computer game presented by the Digital Moving Image Salon.",Media Arts,Arts in Media,9/6/11,175 March 2012 NCA,Closed Out,"$98,704.00 ",2012,33.7463597,-84.4122934
1667165-70,FALSE,Spelman College,Atlanta,GA,,Multidisciplinary*,Access to Artistic Excellence,,154 March 2005 NCA,Rejected,$0.00 ,,33.7463597,-84.4122934
1668585-44,FALSE,Spelman College,Atlanta,GA,,Museums,Access to Artistic Excellence,,154 March 2005 NCA,Rejected,$0.00 ,,33.7463597,-84.4122934
1669247-44,FALSE,Spelman College,Atlanta,GA,,Museums,Creativity / Presentation,,150 November 2003 NCA,Rejected,$0.00 ,,33.7463597,-84.4122934
1844049-41,FALSE,Dillard University,New Orleans,LA,To support the completion of a commission of art on the campus of Dillard University by native New Orlean's artist Sue Jane Smock.,Visual Arts,Art Works,8/9/12,178 March 2013 NCA,Rejected,$0.00 ,,29.9966395,-90.0662662
1895117-41,FALSE,Southern University at New Orleans,New Orleans,LA,Willie Birch Retrospective Exhibition: The Great African/ New Orleanian Orator,Visual Arts,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Pending,$0.00 ,,30.5267645,-91.1935768
1899111-66,TRUE,Southern University at New Orleans,New Orleans,LA,"Purpose: To support personnel, safety supplies,
and marketing expenses in response to and recovery from the COVID-19 pandemic.",American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Offered,$0.00 ,,30.5267645,-91.1935768
1663092-34,FALSE,Southern University at New Orleans,New Orleans,LA,Hurricane Katrina's Effects on New Orleans Area Ar tistic Expression,Media Arts,Arts on Radio and TV,9/7/07,163 March 2008 NCA,Rejected,$0.00 ,,30.5267645,-91.1935768
1903064-66,FALSE,Southern University at Shreveport,Shreveport,LA,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Rejected,$0.00 ,,30.0259133,-90.0449055
1757884-33-00,FALSE,Southern University at Shreveport,Shreveport,LA,"To support, through a Chairman's extraordinary action award, a ceremony and related workshops recognizing ""hoofers"" for their contribution to the art form of tap dancing.",Dance,Heritage / Preservation,,141 November 2000 NCA,Closed Out,$0.00 ,2000,30.0259133,-90.0449055
1833687-51,FALSE,Xavier University of Louisiana,New Orleans,LA,Arts Education: Community-Based Arts Education Cer tificate Program,Arts Education,Art Works,7/14/16,190 March 2017 NCA,Rejected,$0.00 ,,29.963863,-90.107084
1841138-51,FALSE,Xavier University of Louisiana,New Orleans,LA,To support classes in the design and making of traditional Mardi Gras Indian costumes for youth ages 11-14.,Arts Education,Art Works,3/7/13,180 October 2013 NCA,Rejected,$0.00 ,,29.963863,-90.107084
1737529-41-09,FALSE,Xavier University of Louisiana,New Orleans,LA,To support the preservation of jobs that are threatened by declines in philanthropic and other support during the current economic downturn.,Visual Arts,Recovery Act,4/2/09,167 June 2009 NCA,Closed Out,"$49,889.00 ",2009,29.963863,-90.107084
1740553-51-09,FALSE,Xavier University of Louisiana,New Orleans,LA,To support Mardi Gras Indian Arts Summer School.,Arts Education,Learning in the Arts for Children & Youth,6/9/08,166 March 2009 NCA,Closed Out,"$11,499.00 ",2009,29.963863,-90.107084
1742620-51-08,FALSE,Xavier University of Louisiana,New Orleans,LA,To support Mardi Gras Indian Arts Summer School.,Arts Education,Learning in the Arts for Children & Youth,6/11/07,163 March 2008 NCA,Closed Out,"$13,282.00 ",2008,29.963863,-90.107084
1745545-51-07,FALSE,Xavier University of Louisiana,New Orleans,LA,"To support a summer arts program for youth to study, design, and create Mardi Gras Indian costumes.",Arts Education,Summer Schools in the Arts,8/28/06,160 March 2007 NCA,Closed Out,"$15,000.00 ",2007,29.963863,-90.107084
1751499-70-04,FALSE,Xavier University of Louisiana,New Orleans,LA,To support Art & Community Development in the Crescent City.,Multidisciplinary*,Challenge America,,151 March 2004 NCA,Closed Out,"$15,270.00 ",2004,29.963863,-90.107084
1754755-52-02,FALSE,Xavier University of Louisiana,New Orleans,LA,To support a reading series for African American students and community members.,Literary Arts,Creativity / Presentation,,144 November 2001 NCA,Closed Out,"$13,987.00 ",2002,29.963863,-90.107084
1680162-28,FALSE,Xavier University of Louisiana,New Orleans,LA,,Musical Theater,Other,,132 November 1997 NCA,Rejected,$0.00 ,,29.963863,-90.107084
1777463-31-92,FALSE,Xavier University of Louisiana,New Orleans,LA,"To support the 1992-93 jazz clinic-concert series featuring national and locally based jazz artists.  The roster includes the James Williams Quartet, the Clyde Kerr Quintet, the Mic hael White Quartet, and vocalist Germaine Bazzle.  Proposed are six clinics, de",Music,Other,,111 February 1992 NCA,Closed Out,"$7,000.00 ",1992,29.963863,-90.107084
1901251-66,FALSE,Bowie State University,Bowie,MD,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Rejected,$0.00 ,,39.0192914,-76.7594039
1847778-32-19,TRUE,Bowie State University,Bowie,MD,"To support the development
of <em>Other People's Stories: Dialogues Across Distance and Difference<strong></strong></em>, a new play inspired by conversations between college students at Bowie State University and Kent State University who are training to
become teachers.",Theater,Art Works,2/15/18,195 October 2018 NCA,Closed Out,"$10,000.00 ",2019,39.0192914,-76.7594039
1840227-38,FALSE,Bowie State University,Bowie,MD,A Comparative Analysis of the Use of Hip Hop as an Effective Teaching Tool to Enhance Academic Writi ng Skills across the Curriculum for African Americ an High School Students,Research,Art Works: Research,11/20/12,178 March 2013 NCA,Rejected,$0.00 ,,39.0192914,-76.7594039
1704458-31,FALSE,Coppin State College,Baltimore,MD,,Music,Other,,102 November 1989 NCA,Rejected,$0.00 ,,39.3126142,-76.6579056
1842121-44,FALSE,Morgan State University,Baltimore,MD,Putting the Arts in STEM: Theatre Arts & Mathemati cs as a Vehicle to Teach the Public about HIV/AIDS,Museums,Art Works,8/8/13,181 March 2014 NCA,Rejected,$0.00 ,,39.3437959,-76.5843847
